object,split,label,image,mask
pcb3,test,normal,pcb3/Data/Images/Normal/0107.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0484.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0690.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0303.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0237.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0394.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0214.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0991.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0657.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0377.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0659.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0514.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0617.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0725.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0172.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/1002.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0483.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0654.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0400.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0469.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0525.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0170.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0631.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0685.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0320.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0869.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0423.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0417.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0751.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0764.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0972.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0730.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0306.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0011.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0215.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0159.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0629.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0694.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0518.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0940.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0026.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0844.JPG,
pcb3,test,normal,pcb3/Data/Images/Normal/0958.JPG,
